,Country,Life expectancy,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles,BMI,under-five deaths,Polio,Total expenditure,Diphtheria,HIV/AIDS,GDP,Population,thinness  1-19 years,thinness 5-9 years,Income composition of resources,Schooling,Poisoning,Status
59,Finland,80.7125,68.875,0,9.55266666666667,2889.3154698925,,2.8125,52.3,0,97.1875,8.614,98.25,0.1,25268.649758125,3493082.3125,0.9,0.80625,0.8729375,17.29375,0.25,Developing
60,France,82.21875,73.125,2.9375,12.4046666666667,3751.50657413375,51.25,2661.625,51.98125,3.4375,98.25,6.556,98.0625,0.1,26465.551380625,27581733.125,0.625,0.6,0.8705625,15.9,0.51,Developing
61,Gabon,62.24375,220.4375,2,7.87733333333333,261.077778610625,57.6363636363636,349.8125,28.81875,3,57.25,3.17533333333333,54.5,8,5179.256188625,1007302.3125,6.91875,6.775,0.654375,12.4125,0.33,Developing
62,Gambia,59.4625,249.625,3,2.13466666666667,0,95.375,41.25,20.3,5.6875,92.75,5.30866666666667,88.5,2.34375,,,7.5875,7.50625,0.4201875,8.125,1.58,Developing
63,Georgia,73.50625,114.9375,1.1875,5.62333333333333,99.5257140183125,77.25,1298,47.74375,1.25,81.1875,7.33066666666667,83.5,0.1,2158.28086928125,10152.375,2.75,2.89375,0.6779375,12.675,2.22,Developing
64,Germany,81.175,71.25,2.5,11.6286666666667,3900.89026089375,77.4375,1497.1875,51.99375,3.25,94.8125,4.07333333333333,89.875,0.1,24337.7491,38757347.4375,1.11875,1.10625,0.8945,16.6,0.66,Developed
65,Ghana,60.8625,180.0625,40.3125,1.26866666666667,77.249122034875,67.5,3419.75,21.725,59.8125,78.9375,4.32866666666667,73.875,2.2875,834.3761008125,11534782.625,7.65,7.575,0.525875,9.5125,0.16,Developing
66,Greece,81.21875,73.625,0.1875,8.80333333333333,1759.24682044375,88.9375,24.875,58.68125,0.4375,91.4375,9.03866666666667,96.625,0.1,16454.23587,1550208.4375,0.8125,0.73125,0.8423125,15.9375,1.96,Developing
67,Grenada,73.29375,153.75,0,8.84333333333333,363.84122981125,95.4666666666667,0,40.2125,0,95.125,6.18866666666667,95.625,0.1,6259.5172613125,,3.91875,3.93125,0.2331875,15.20625,0.088,Developing
68,Guatemala,71.73125,131.1875,13.125,2.26866666666667,334.027048028125,87.0909090909091,0,40.44375,16.125,71.4375,6.594,85.5625,0.375,2365.83447375,5933907.5,1.3375,1.3375,0.5844375,9.8625,0.31,Developing
69,Guinea,56.0125,259.875,30.8125,0.164666666666667,15.8912829451875,58.6666666666667,1522,17.46875,48.375,52.4375,4.00933333333333,47.875,2.19375,279.46479789375,4252798.9375,7.64375,7.625,0.36475,7.175,1.79,Developing
70,Guinea-Bissau,55.36875,158.3125,4.5625,2.26,21.9616446626875,75,331.3125,19.43125,7.3125,74.75,5.87066666666667,65.25,4.81875,384.21493053125,981883.1875,7.5,7.38125,0.2541875,8.2875,2.85,Developing
71,Guyana,65.6375,203.9375,0.5625,7.406,187.765017956688,88.2,0,36.38125,1,87.75,6.084,88.1875,1.0625,1783.8809370625,494437.25,5.68125,5.46875,0.6198125,10.7875,2.23,Developing
